;marketPriceBTCInUSD;tradeVolume;medianConfirmationTime;blocksSize;costPerTransactionPercent;difficulty;hashRate;numberOfTransactionsPerBlock;totalTransactions;totalAdressesTransactions;numberOfcirculatingBitcoins;marketCapitalization
2014-01-01;746.9;14908245.3135;6.46666666667;13488.0;6.62360866006;3741222.1;11740.8020896;381.0;30246540;83356;12203800.0;9115018220.0
2014-02-01;758.01;50622859.7182;8.96666666667;13513.0;3.71165548957;2775832.62;10294.911523;332.0;30294964;103246;12207450.0;9253369174.5
2014-03-01;806.21;29592240.0527;8.95;13545.0;2.19854555154;3296592.69;11493.6340976;319.0;30358785;125864;12211525.0;9845053570.25
2014-04-01;822.38;41995707.7694;8.95;13572.0;2.66268239801;3052674.56;10435.9377082;322.0;30412763;103502;12215225.0;10045556735.5
2014-05-01;896.0;94662992.1168;7.06666666667;13602.0;3.02265977523;4043648.0;12692.3566722;280.0;30468524;106688;12219725.0;10948873600.0
2014-06-01;934.21;69561799.425;8.0;13639.0;2.56143472579;4160971.34;12480.8173943;272.0;30536121;152700;12224150.0;11419923171.5
2014-07-01;867.38;110115151.407;6.71666666667;13671.0;4.02794183115;4068012.2;13185.9483205;259.0;30598247;121152;12228825.0;10607038228.5
2014-08-01;825.29;45155703.9744;6.21666666667;13702.0;3.58167800503;4076107.31;13891.0792468;269.0;30661131;129583;12233750.0;10096391537.5
2014-09-01;809.17;52410464.412;7.43333333333;13730.0;5.64174902614;3671204.29;12762.8697648;360.0;30719496;114730;12238275.0;9902844981.75
2014-10-01;827.46;49763728.9422;6.63333333333;13758.0;6.46581632485;4188602.52;14243.6447099;353.0;30776242;112691;12243325.0;10130861704.5
2014-11-01;891.85;34383903.0156;5.71666666667;13787.0;5.37122159159;4626025.95;14596.210173;287.0;30832706;110670;12248500.0;10923824725.0
2014-12-01;851.0;37190900.0988;6.78333333333;13813.0;6.08027523235;4051611.0;13397.4875984;381.0;30882014;98958;12253250.0;10427515750.0
2014-13-01;807.83;45750690.0678;6.11666666667;13840.0;5.60461803206;4109431.21;18058.6488747;326.0;30936770;110334;12258325.0;9902642684.75
2014-14-01;820.75;20882097.0248;8.01666666667;13867.0;3.81304754336;3169736.5;13699.6646636;267.0;30992349;133541;12262175.0;10064180131.2
2014-15-01;847.7;28146119.9822;7.43333333333;13897.0;3.284888527;3640023.8;15211.9653082;321.0;31052741;115087;12266450.0;10398269665.0
2014-16-01;830.9;19280975.8176;6.25;13925.0;5.0092205861;4165301.7;17791.7722903;415.0;31110333;110024;12271450.0;10196347805.0
2014-17-01;793.0;38944885.7633;8.48333333333;13954.0;4.3938461481;3044327.0;13610.7058021;349.0;31168730;113632;12275275.0;9734293075.0
2014-18-01;801.53;17964011.6403;8.03333333333;13979.0;7.0747358681;3275853.11;14500.2944166;356.0;31222020;95634;12279350.0;9842267405.5
2014-19-01;833.0;24316858.692;6.7;14004.0;7.60594769125;3841796.0;16368.4305071;346.0;31271244;94782;12283950.0;10232530350.0
2014-20-01;831.72;27630959.274;6.58333333333;14036.0;5.02854861486;3815931.36;16279.4716457;357.0;31330063;144276;12288525.0;10220612013.0
2014-21-01;822.56;18566620.0177;7.25;14072.0;3.12939431381;3550168.96;15300.9241697;322.0;31401584;136930;12292825.0;10111586132.0
2014-22-01;813.05;18496940.3137;7.8;14105.0;5.61797062147;3872557.15;16902.1836758;377.0;31467942;131062;12297575.0;9998543353.75
2014-23-01;813.02;15575698.2254;8.93333333333;14137.0;4.95352391019;3630947.32;15834.6773384;395.0;31531469;127975;12302025.0;10001792365.5
2014-24-01;789.1;34982710.5232;7.25;14170.0;3.75584311408;3879215.6;21375.1267539;391.0;31599362;127984;12306925.0;9711394517.5
2014-25-01;806.0;24914520.3922;9.45;14197.0;4.90020305954;3132922.0;16903.7992187;380.0;31654733;108098;12310800.0;9922504800.0
2014-26-01;826.77;32117081.9952;8.05;14223.0;6.22372437939;3316174.47;17449.0830644;336.0;31706363;107203;12314800.0;10181507196.0
2014-27-01;777.0;49146212.0184;8.8;14254.0;3.50651773128;3136749.0;17558.1398336;288.0;31767109;145032;12318825.0;9571727025.0
2014-28-01;800.2;45159189.657;8.9;14287.0;3.04589095843;3331232.6;18103.4236794;283.0;31832796;135152;12322975.0;9860844595.0
2014-29-01;803.6;17741130.5897;8.15;14316.0;5.74589939505;3184666.8;17230.9695261;303.0;31894582;124466;12326925.0;9905916930.0
