date;Bitcoin
2015-01-01;53
2015-01-02;59
2015-01-03;62
2015-01-04;74
2015-01-05;73
2015-01-06;77
2015-01-07;62
2015-01-08;57
2015-01-09;58
2015-01-10;57
2015-01-11;53
2015-01-12;56
2015-01-13;72
2015-01-14;100
2015-01-15;90
2015-01-16;73
2015-01-17;65
2015-01-18;57
2015-01-19;59
2015-01-20;61
2015-01-21;62
2015-01-22;62
2015-01-23;59
2015-01-24;59
2015-01-25;59
2015-01-26;81
2015-01-27;65
2015-01-28;61
2015-01-29;60
2015-01-30;54
2015-01-31;49
2015-02-01;53
2015-02-02;57
2015-02-03;58
2015-02-04;58
2015-02-05;60
2015-02-06;58
2015-02-07;63
2015-02-08;65
2015-02-09;63
2015-02-10;63
2015-02-11;59
2015-02-12;56
2015-02-13;54
2015-02-14;57
2015-02-15;56
2015-02-16;57
2015-02-17;56
2015-02-18;58
2015-02-19;60
2015-02-20;90
2015-02-21;65
2015-02-22;59
2015-02-23;56
2015-02-24;52
2015-02-25;53
2015-02-26;51
2015-02-27;53
2015-02-28;46
2015-03-01;53
2015-03-02;53
2015-03-03;55
2015-03-04;52
2015-03-05;56
2015-03-06;66
2015-03-07;70
2015-03-08;59
2015-03-09;64
2015-03-10;67
2015-03-11;60
2015-03-12;54
2015-03-13;57
2015-03-14;54
2015-03-15;53
2015-03-16;55
2015-03-17;56
2015-03-18;59
2015-03-19;61
2015-03-20;51
2015-03-21;48
2015-03-22;51
2015-03-23;53
2015-03-24;56
2015-03-25;58
2015-03-26;52
2015-03-27;51
2015-03-28;44
2015-03-29;47
2015-03-30;55
2015-03-31;55
2015-04-01;52
2015-04-02;47
2015-04-03;51
2015-04-04;49
2015-04-05;50
2015-04-06;50
2015-04-07;50
2015-04-08;53
2015-04-09;54
2015-04-10;53
2015-04-11;49
2015-04-12;46
2015-04-13;47
2015-04-14;52
2015-04-15;49
2015-04-16;45
2015-04-17;44
2015-04-18;45
2015-04-19;45
2015-04-20;50
2015-04-21;52
2015-04-22;53
2015-04-23;49
2015-04-24;47
2015-04-25;46
2015-04-26;47
2015-04-27;46
2015-04-28;46
2015-04-29;49
2015-04-30;53
2015-05-01;49
2015-05-02;45
2015-05-03;44
2015-05-04;47
2015-05-05;47
2015-05-06;46
2015-05-07;46
2015-05-08;45
2015-05-09;43
2015-05-10;42
2015-05-11;48
2015-05-12;47
2015-05-13;48
2015-05-14;52
2015-05-15;46
2015-05-16;46
2015-05-17;47
2015-05-18;52
2015-05-19;56
2015-05-20;51
2015-05-21;48
2015-05-22;46
2015-05-23;48
2015-05-24;48
2015-05-25;44
2015-05-26;51
2015-05-27;51
2015-05-28;46
2015-05-29;52
2015-05-30;59
2015-05-31;56
2015-06-01;53
2015-06-02;29
2015-06-03;28
2015-06-04;30
2015-06-05;27
2015-06-06;27
2015-06-07;27
2015-06-08;26
2015-06-09;27
2015-06-10;27
2015-06-11;28
2015-06-12;27
2015-06-13;24
2015-06-14;27
2015-06-15;27
2015-06-16;31
2015-06-17;31
2015-06-18;58
2015-06-19;37
2015-06-20;34
2015-06-21;30
2015-06-22;28
2015-06-23;29
2015-06-24;26
2015-06-25;31
2015-06-26;25
2015-06-27;31
2015-06-28;30
2015-06-29;35
2015-06-30;43
2015-07-01;37
2015-07-02;34
2015-07-03;34
2015-07-04;34
2015-07-05;38
2015-07-06;42
2015-07-07;36
2015-07-08;38
2015-07-09;36
2015-07-10;39
2015-07-11;37
2015-07-12;39
2015-07-13;38
2015-07-14;33
2015-07-15;33
2015-07-16;34
2015-07-17;31
2015-07-18;31
2015-07-19;32
2015-07-20;32
2015-07-21;33
2015-07-22;32
2015-07-23;31
2015-07-24;30
2015-07-25;30
2015-07-26;32
2015-07-27;34
2015-07-28;34
2015-07-29;31
2015-07-30;30
2015-07-31;29
2015-08-01;49
2015-08-02;42
2015-08-03;38
2015-08-04;35
2015-08-05;33
2015-08-06;31
2015-08-07;30
2015-08-08;32
2015-08-09;30
2015-08-10;29
2015-08-11;28
2015-08-12;29
2015-08-13;31
2015-08-14;27
2015-08-15;27
2015-08-16;31
2015-08-17;31
2015-08-18;35
2015-08-19;44
2015-08-20;40
2015-08-21;37
2015-08-22;33
2015-08-23;35
2015-08-24;40
2015-08-25;42
2015-08-26;37
2015-08-27;33
2015-08-28;31
2015-08-29;32
2015-08-30;33
2015-08-31;31
2015-09-01;33
2015-09-02;31
2015-09-03;29
2015-09-04;27
2015-09-05;29
2015-09-06;29
2015-09-07;28
2015-09-08;30
2015-09-09;30
2015-09-10;30
2015-09-11;29
2015-09-12;28
2015-09-13;29
2015-09-14;29
2015-09-15;29
2015-09-16;30
2015-09-17;30
2015-09-18;33
2015-09-19;29
2015-09-20;30
2015-09-21;30
2015-09-22;34
2015-09-23;32
2015-09-24;31
2015-09-25;31
2015-09-26;28
2015-09-27;27
2015-09-28;29
2015-09-29;29
2015-09-30;31
2015-10-01;28
2015-10-02;28
2015-10-03;26
2015-10-04;28
2015-10-05;30
2015-10-06;33
2015-10-07;31
2015-10-08;31
2015-10-09;29
2015-10-10;28
2015-10-11;27
2015-10-12;30
2015-10-13;29
2015-10-14;30
2015-10-15;29
2015-10-16;31
2015-10-17;31
2015-10-18;31
2015-10-19;30
2015-10-20;33
2015-10-21;33
2015-10-22;36
2015-10-23;35
2015-10-24;31
2015-10-25;34
2015-10-26;35
2015-10-27;36
2015-10-28;36
2015-10-29;42
2015-10-30;44
2015-10-31;36
2015-11-01;43
2015-11-02;47
2015-11-03;66
2015-11-04;92
2015-11-05;77
2015-11-06;56
2015-11-07;48
2015-11-08;45
2015-11-09;48
2015-11-10;46
2015-11-11;47
2015-11-12;42
2015-11-13;38
2015-11-14;33
2015-11-15;36
2015-11-16;38
2015-11-17;38
2015-11-18;37
2015-11-19;38
2015-11-20;40
2015-11-21;37
2015-11-22;35
2015-11-23;36
2015-11-24;39
2015-11-25;35
2015-11-26;39
2015-11-27;37
2015-11-28;34
2015-11-29;34
2015-11-30;40
2015-12-01;39
2015-12-02;36
2015-12-03;36
2015-12-04;34
2015-12-05;35
2015-12-06;38
2015-12-07;39
2015-12-08;48
2015-12-09;100
2015-12-10;67
2015-12-11;54
2015-12-12;46
2015-12-13;45
2015-12-14;43
2015-12-15;47
2015-12-16;46
2015-12-17;43
2015-12-18;41
2015-12-19;40
2015-12-20;40
2015-12-21;39
2015-12-22;40
2015-12-23;38
2015-12-24;41
2015-12-25;36
2015-12-26;40
2015-12-27;37
2015-12-28;40
2015-12-29;39
2015-12-30;37
2015-12-31;35
2016-01-01;26
2016-01-02;29
2016-01-03;31
2016-01-04;34
2016-01-05;32
2016-01-06;33
2016-01-07;38
2016-01-08;38
2016-01-09;33
2016-01-10;31
2016-01-11;32
2016-01-12;32
2016-01-13;33
2016-01-14;31
2016-01-15;45
2016-01-16;46
2016-01-17;38
2016-01-18;40
2016-01-19;38
2016-01-20;41
2016-01-21;36
2016-01-22;34
2016-01-23;30
2016-01-24;33
2016-01-25;31
2016-01-26;32
2016-01-27;32
2016-01-28;32
2016-01-29;32
2016-01-30;29
2016-01-31;29
2016-02-01;30
2016-02-02;29
2016-02-03;29
2016-02-04;29
2016-02-05;28
2016-02-06;29
2016-02-07;28
2016-02-08;27
2016-02-09;30
2016-02-10;31
2016-02-11;30
2016-02-12;28
2016-02-13;30
2016-02-14;33
2016-02-15;34
2016-02-16;32
2016-02-17;34
2016-02-18;41
2016-02-19;37
2016-02-20;32
2016-02-21;34
2016-02-22;33
2016-02-23;32
2016-02-24;31
2016-02-25;31
2016-02-26;31
2016-02-27;29
2016-02-28;29
2016-02-29;29
2016-03-01;31
2016-03-02;31
2016-03-03;35
2016-03-04;31
2016-03-05;33
2016-03-06;30
2016-03-07;30
2016-03-08;29
2016-03-09;28
2016-03-10;29
2016-03-11;29
2016-03-12;27
2016-03-13;28
2016-03-14;31
2016-03-15;31
2016-03-16;30
2016-03-17;30
2016-03-18;29
