,marketPriceBTCInUSD,tradeVolume,medianConfirmationTime,blocksSize,costPerTransactionPercent,difficulty,hashRate,numberOfTransactionsPerBlock,totalTransactions,totalAdressesTransactions,numberOfcirculatingBitcoins,marketCapitalization
2016-15-10:16,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:17,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:18,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:19,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:20,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:21,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:22,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-15-10:23,637.949857143,6525990.94134,10.2166666667,86263.211618,0.906655138972,1135929.6,1824875.44505,1482.02816901,163394317,384627,15931287.5,10189651485.0
2016-16-10:00,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:01,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:02,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:03,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
2016-16-10:04,641.425125,6985758.74822,8.28333333333,86361.868317,0.918459789093,1047566.76,1670660.61871,1522.12307692,163592193,383032,15932912.5,10264938207.2
