date;Bitcoin
2014-12-21;43
2014-12-22;44
2014-12-23;43
2014-12-24;44
2014-12-25;40
2014-12-26;51
2014-12-27;100
2014-12-28;42
2014-12-29;44
2014-12-30;45
2014-12-31;45
2015-01-01;49
2015-01-02;55
2015-01-03;61
2015-01-04;70
2015-01-05;70
2015-01-06;74
2015-01-07;61
2015-01-08;58
2015-01-09;60
2015-01-10;56
2015-01-11;53
2015-01-12;56
2015-01-13;71
2015-01-14;100
2015-01-15;87
2015-01-16;73
2015-01-17;59
2015-01-18;56
2015-01-19;57
2015-01-20;59
2015-01-21;62
2015-01-22;60
2015-01-23;58
2015-01-24;58
2015-01-25;57
2015-01-26;79
2015-01-27;64
2015-01-28;62
2015-01-29;61
2015-01-30;54
2015-01-31;51
2015-02-01;51
2015-02-02;51
2015-02-03;56
2015-02-04;54
2015-02-05;59
2015-02-06;54
2015-02-07;62
2015-02-08;62
2015-02-09;61
2015-02-10;60
2015-02-11;60
2015-02-12;56
2015-02-13;56
2015-02-14;51
2015-02-15;55
2015-02-16;55
2015-02-17;51
2015-02-18;60
2015-02-19;59
2015-02-20;86
2015-02-21;59
2015-02-22;57
2015-02-23;55
2015-02-24;51
2015-02-25;52
2015-02-26;50
2015-02-27;53
2015-02-28;48
2015-03-01;51
2015-03-02;55
2015-03-03;54
2015-03-04;54
2015-03-05;54
2015-03-06;66
2015-03-07;69
2015-03-08;56
2015-03-09;60
2015-03-10;62
2015-03-11;60
2015-03-12;57
2015-03-13;57
2015-03-14;52
2015-03-15;51
2015-03-16;56
2015-03-17;53
2015-03-18;58
2015-03-19;58
2015-03-20;52
2015-03-21;48
2015-03-22;51
2015-03-23;53
2015-03-24;55
2015-03-25;57
2015-03-26;52
2015-03-27;47
2015-03-28;43
2015-03-29;45
2015-03-30;56
2015-03-31;52
2015-04-01;53
2015-04-02;48
2015-04-03;48
2015-04-04;46
2015-04-05;48
2015-04-06;50
2015-04-07;50
2015-04-08;50
2015-04-09;51
2015-04-10;48
2015-04-11;45
2015-04-12;45
2015-04-13;48
2015-04-14;51
2015-04-15;50
2015-04-16;45
2015-04-17;45
2015-04-18;45
2015-04-19;45
2015-04-20;48
2015-04-21;51
2015-04-22;49
2015-04-23;50
2015-04-24;48
2015-04-25;44
2015-04-26;45
2015-04-27;45
2015-04-28;44
2015-04-29;47
2015-04-30;49
2015-05-01;46
2015-05-02;43
2015-05-03;42
2015-05-04;45
2015-05-05;45
2015-05-06;44
2015-05-07;44
2015-05-08;43
2015-05-09;42
2015-05-10;41
2015-05-11;48
2015-05-12;47
2015-05-13;46
2015-05-14;54
2015-05-15;47
2015-05-16;47
2015-05-17;44
2015-05-18;50
2015-05-19;54
2015-05-20;50
2015-05-21;49
2015-05-22;46
2015-05-23;46
2015-05-24;51
2015-05-25;45
2015-05-26;52
2015-05-27;50
2015-05-28;44
2015-05-29;51
2015-05-30;59
2015-05-31;52
2015-06-01;49
2015-06-02;29
2015-06-03;28
2015-06-04;28
2015-06-05;25
2015-06-06;27
2015-06-07;27
2015-06-08;26
2015-06-09;26
2015-06-10;28
2015-06-11;28
2015-06-12;26
2015-06-13;24
2015-06-14;26
2015-06-15;24
2015-06-16;31
2015-06-17;30
2015-06-18;58
2015-06-19;34
2015-06-20;32
2015-06-21;28
2015-06-22;28
2015-06-23;29
2015-06-24;25
2015-06-25;31
2015-06-26;26
2015-06-27;29
2015-06-28;31
2015-06-29;34
2015-06-30;41
2015-07-01;37
2015-07-02;32
2015-07-03;34
2015-07-04;34
2015-07-05;37
2015-07-06;42
2015-07-07;35
2015-07-08;38
2015-07-09;35
2015-07-10;39
2015-07-11;36
2015-07-12;40
2015-07-13;37
2015-07-14;33
2015-07-15;32
2015-07-16;33
2015-07-17;30
2015-07-18;31
2015-07-19;31
2015-07-20;30
2015-07-21;32
2015-07-22;30
2015-07-23;30
2015-07-24;30
2015-07-25;30
2015-07-26;31
2015-07-27;32
2015-07-28;32
2015-07-29;30
2015-07-30;30
2015-07-31;29
2015-08-01;49
2015-08-02;41
2015-08-03;36
2015-08-04;33
2015-08-05;33
2015-08-06;30
2015-08-07;30
2015-08-08;29
2015-08-09;31
2015-08-10;29
2015-08-11;29
2015-08-12;29
2015-08-13;29
2015-08-14;27
2015-08-15;26
2015-08-16;32
2015-08-17;30
2015-08-18;34
2015-08-19;43
2015-08-20;39
2015-08-21;35
2015-08-22;32
2015-08-23;35
2015-08-24;39
2015-08-25;40
2015-08-26;36
2015-08-27;33
2015-08-28;29
2015-08-29;30
2015-08-30;30
2015-08-31;30
2015-09-01;32
2015-09-02;30
2015-09-03;29
2015-09-04;27
2015-09-05;27
2015-09-06;28
2015-09-07;28
2015-09-08;29
2015-09-09;28
2015-09-10;29
2015-09-11;27
2015-09-12;28
2015-09-13;27
2015-09-14;29
2015-09-15;29
2015-09-16;30
2015-09-17;30
2015-09-18;33
2015-09-19;31
2015-09-20;29
2015-09-21;29
2015-09-22;33
2015-09-23;30
2015-09-24;29
2015-09-25;30
2015-09-26;28
2015-09-27;28
2015-09-28;28
2015-09-29;28
2015-09-30;30
2015-10-01;27
2015-10-02;26
2015-10-03;25
2015-10-04;27
2015-10-05;29
2015-10-06;31
2015-10-07;30
2015-10-08;31
2015-10-09;28
2015-10-10;28
2015-10-11;27
2015-10-12;30
2015-10-13;29
2015-10-14;29
2015-10-15;30
2015-10-16;30
2015-10-17;31
2015-10-18;31
2015-10-19;30
2015-10-20;33
2015-10-21;31
2015-10-22;33
2015-10-23;34
2015-10-24;30
2015-10-25;34
2015-10-26;36
2015-10-27;35
2015-10-28;37
2015-10-29;41
2015-10-30;44
2015-10-31;34
2015-11-01;40
2015-11-02;46
2015-11-03;66
2015-11-04;91
2015-11-05;75
2015-11-06;57
2015-11-07;46
2015-11-08;44
2015-11-09;47
2015-11-10;46
2015-11-11;45
2015-11-12;41
2015-11-13;38
2015-11-14;33
2015-11-15;35
2015-11-16;38
2015-11-17;37
2015-11-18;37
2015-11-19;39
2015-11-20;40
2015-11-21;36
2015-11-22;34
2015-11-23;36
2015-11-24;36
2015-11-25;35
2015-11-26;39
2015-11-27;36
2015-11-28;34
2015-11-29;35
2015-11-30;39
2015-12-01;39
2015-12-02;36
2015-12-03;36
2015-12-04;33
2015-12-05;35
2015-12-06;38
2015-12-07;37
2015-12-08;48
2015-12-09;100
2015-12-10;67
2015-12-11;54
2015-12-12;49
2015-12-13;43
2015-12-14;45
2015-12-15;48
2015-12-16;43
2015-12-17;43
2015-12-18;39
2015-12-19;39
2015-12-20;39
2015-12-21;38
2015-12-22;38
2015-12-23;38
2015-12-24;39
2015-12-25;36
2015-12-26;39
2015-12-27;39
2015-12-28;41
2015-12-29;37
2015-12-30;38
2015-12-31;35
2016-01-01;28
2016-01-02;30
2016-01-03;30
2016-01-04;35
2016-01-05;32
2016-01-06;34
2016-01-07;36
2016-01-08;37
2016-01-09;32
2016-01-10;31
2016-01-11;32
2016-01-12;31
2016-01-13;33
2016-01-14;33
2016-01-15;46
2016-01-16;45
2016-01-17;39
2016-01-18;39
2016-01-19;38
2016-01-20;39
2016-01-21;34
2016-01-22;34
2016-01-23;30
2016-01-24;32
2016-01-25;32
2016-01-26;31
2016-01-27;32
2016-01-28;32
2016-01-29;32
2016-01-30;29
2016-01-31;27
2016-02-01;30
2016-02-02;30
2016-02-03;30
2016-02-04;30
2016-02-05;29
2016-02-06;29
2016-02-07;28
2016-02-08;28
2016-02-09;30
2016-02-10;31
2016-02-11;29
2016-02-12;29
2016-02-13;28
